T1 P0 D10.000000 Z+132.580846 ;sveder 
T2 P0 Z+75.265523 ;45 faza 
T3 P0 D2.000000 Z+6.378000 ;rezkar 3mm 
T5 P0 D4.980000 Z+38.970000 ;comment 
T6 P0 D6.000000 Z+28.048000 ;rezkar 6mm 
T8 P0 D7.700000 Z+101.000000 ;rezkar 8mm 
T10 P0 D10.000000 Z+36.500000 ;rezkar 10mm 
T12 P0 D11.870000 Z+36.800000 ;rezkar 12mm 
T14 P0 D13.100000 ;FI 14 
T16 P0 D13.000000 ; 
T19 P0 D18.000000 Z-17.362000 ; 
T40 P0 D40.520000 ;Frezalna glava fi40 
T99 P0 D3.000000 Z+126.000000 ;Messtaster 
T101 P0 Z+95.002000 ; 
T150 P0 D125.000000 ;BRUS 
