T1 P0 D20.000000 Z+425.000000 ;ploscica 
T2 P0 D35.000000 Z+67.730000 ;o35 zaga 
T3 P0 D8.000000 Z+101.392000 ;spancanga 
T4 P0 D5.000000 Z+145.880000 ;vrtalna glava 
T5 P0 D10.000000 Z+121.187000 ;krogla 
T6 P0 D6.000000 Z+192.126000 ;merilno tipalo 
T7 P0 D10.000000 Z+82.295000 ;fini rezkar 
T8 P0 D50.000000 Z+87.790000 ;rezkalna glava 
T9 P0 D4.000000 Z+106.118000 ;spancanga 
T10 P0 D15.300000 Z+89.688000 ;rezkar navadni 
T11 P0 D8.000000 Z+71.742000 ;pobiralec robov 
T12 P0 D5.000000 Z+80.289000 ;rezkar fini 
T13 P0 Z+168.315000 ;iztruzilna glava 
T14 P0 D11.300000 Z+73.093000 ;rezkar fini 
T15 P0 D4.000000 Z+173.076000 ;merilna ura nova 
T16 P0 D22.200000 Z+130.511000 ;rezkar fini 
T17 P0 D14.500000 Z+168.079000 ;sveder 
T18 P0 D6.000000 Z+62.431000 ;frzenkar 
T19 P0 D50.000000 Z+79.354000 ;rezkar navojni 
T20 P0 D50.000000 Z+103.053000 ;rezkalna glava 
T21 P0 D40.000000 Z+114.735000 ;rezkalna glava 
T22 P0 D14.000000 Z+153.242000 ;sveder 
T23 P0 D8.000000 Z+115.669000 ;rezkar fini 
